	time	V(na)	V(nt)	I(Rgnd)	I(Rrad)	power
164	1970-01-01 00:00:00.000000164	0.05293175	0.05293254	0.007351632	1.373185e-15	1.609768344654883e-29
165	1970-01-01 00:00:00.000000165					
166	1970-01-01 00:00:00.000000166					
167	1970-01-01 00:00:00.000000167					
168	1970-01-01 00:00:00.000000168					
169	1970-01-01 00:00:00.000000169					
170	1970-01-01 00:00:00.000000170					
171	1970-01-01 00:00:00.000000171					
172	1970-01-01 00:00:00.000000172					
173	1970-01-01 00:00:00.000000173					
174	1970-01-01 00:00:00.000000174	0.05625074	0.05625154	0.007812602	1.543836e-15	2.0347338451627153e-29
175	1970-01-01 00:00:00.000000175					
176	1970-01-01 00:00:00.000000176					
177	1970-01-01 00:00:00.000000177					
178	1970-01-01 00:00:00.000000178					
179	1970-01-01 00:00:00.000000179					
180	1970-01-01 00:00:00.000000180					
181	1970-01-01 00:00:00.000000181					
182	1970-01-01 00:00:00.000000182					
183	1970-01-01 00:00:00.000000183					
184	1970-01-01 00:00:00.000000184	0.05956973	0.05957054	0.008273573	2.208148e-15	4.162570846501046e-29
185	1970-01-01 00:00:00.000000185					
186	1970-01-01 00:00:00.000000186					
187	1970-01-01 00:00:00.000000187					
188	1970-01-01 00:00:00.000000188					
189	1970-01-01 00:00:00.000000189					
190	1970-01-01 00:00:00.000000190					
191	1970-01-01 00:00:00.000000191					
192	1970-01-01 00:00:00.000000192					
193	1970-01-01 00:00:00.000000193					
194	1970-01-01 00:00:00.000000194	0.06288871	0.06288955	0.008734544	1.986321e-15	3.3682486909105027e-29
195	1970-01-01 00:00:00.000000195					
196	1970-01-01 00:00:00.000000196					
197	1970-01-01 00:00:00.000000197					
198	1970-01-01 00:00:00.000000198					
199	1970-01-01 00:00:00.000000199					
200	1970-01-01 00:00:00.000000200					
201	1970-01-01 00:00:00.000000201					
202	1970-01-01 00:00:00.000000202					
203	1970-01-01 00:00:00.000000203					
204	1970-01-01 00:00:00.000000204					
205	1970-01-01 00:00:00.000000205	0.0662077	0.06620855	0.009195514	2.28715e-15	4.4657517580782507e-29
206	1970-01-01 00:00:00.000000206					
207	1970-01-01 00:00:00.000000207					
208	1970-01-01 00:00:00.000000208					
209	1970-01-01 00:00:00.000000209					
210	1970-01-01 00:00:00.000000210					
211	1970-01-01 00:00:00.000000211					
212	1970-01-01 00:00:00.000000212					
