	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
350	1970-01-01 00:00:00.000000350	0.09609440771308142	0.25582982207094634	-41.39541655899138	0.013346445526502295	3.549759823291059e-09	9.366226490568612e-13
351	1970-01-01 00:00:00.000000351	0.09638839874581318	0.25640334102716783	-41.46927093226646	0.013387277616300708	3.2472149145441007e-09	9.32329462122302e-13
352	1970-01-01 00:00:00.000000352	0.09668325462861814	0.25696612404042657	-41.541852244268576	0.013428229804183853	3.2758949247107344e-09	9.2789618132292e-13
353	1970-01-01 00:00:00.000000353	0.09697826690019656	0.25752718938174535	-41.61437359492638	0.013469203717316322	3.4276560736338683e-09	9.246574244241314e-13
354	1970-01-01 00:00:00.000000354	0.09727222011002037	0.25810923523985924	-41.68803279792554	0.013510030572328208	3.3322939805360253e-09	9.215642557245093e-13
355	1970-01-01 00:00:00.000000355	0.09756777658130081	0.25865748092387286	-41.76124277272727	0.013551080096452327	3.8458724709548565e-09	9.17833137613428e-13
356	1970-01-01 00:00:00.000000356	0.09786161490826535	0.25924220789988556	-41.835557516335044	0.013591890952046957	3.2044038254498136e-09	9.142586663722164e-13
357	1970-01-01 00:00:00.000000357	0.09815735968116475	0.25979245179874677	-41.90916246959086	0.013632966619977885	3.162446861868227e-09	9.105547210214366e-13
358	1970-01-01 00:00:00.000000358	0.09845264269933462	0.26036030384148806	-41.98228475499026	0.01367397816196743	3.1113464521078553e-09	9.065001105656731e-13
359	1970-01-01 00:00:00.000000359	0.0987482562172491	0.26091383443207294	-42.05555297210892	0.013715035596589865	3.526546358557675e-09	9.047323165200359e-13
360	1970-01-01 00:00:00.000000360	0.09904314594257042	0.2614836847269531	-42.12958700655605	0.013755992501556605	3.2905866441292168e-09	9.004985579876427e-13
361	1970-01-01 00:00:00.000000361	0.09933880540367443	0.2620424732908798	-42.203915058556575	0.013797056294100423	3.0854458018712486e-09	8.968370384030504e-13
362	1970-01-01 00:00:00.000000362	0.0996339436347012	0.26260984613780997	-42.27854479664984	0.01383804772181991	2.8465136163949235e-09	8.938771486700608e-13
363	1970-01-01 00:00:00.000000363	0.09993028604781895	0.2631537656944698	-42.35236677824421	0.013879206353714181	3.2737137621263737e-09	8.906958705434071e-13
364	1970-01-01 00:00:00.000000364	0.1002269388702746	0.2637064136827154	-42.42503065991696	0.013920408119673683	3.1261113338484235e-09	8.867744992831133e-13
365	1970-01-01 00:00:00.000000365	0.10052233022866906	0.2642710817464645	-42.4994712393209	0.01396143472716036	3.101464017728578e-09	8.835732254826263e-13
366	1970-01-01 00:00:00.000000366	0.10081833019970951	0.2648276795279593	-42.57437026724764	0.01400254590486565	2.9851167377969133e-09	8.806851327253633e-13
367	1970-01-01 00:00:00.000000367	0.10111442276287164	0.265385563071066	-42.64947352465555	0.01404366980746918	2.6027512222980417e-09	8.776196512726071e-13
368	1970-01-01 00:00:00.000000368	0.10141135337945524	0.26592666345624455	-42.723375923645314	0.014084910231454651	3.309660761749493e-09	8.745475407737318e-13
369	1970-01-01 00:00:00.000000369	0.10170746382301908	0.2664841893580104	-42.798067379265476	0.014126036633169463	3.039392098566006e-09	8.708912353907058e-13
370	1970-01-01 00:00:00.000000370	0.1020049041148844	0.267031508941474	-42.87182964739884	0.014167347854046242	2.8030922773741692e-09	8.674647017225496e-13
371	1970-01-01 00:00:00.000000371	0.10230183221432951	0.26757283713986946	-42.94570504777702	0.014208587824252694	3.180060378977752e-09	8.648706628522043e-13
372	1970-01-01 00:00:00.000000372	0.10259916085690665	0.2681231369936379	-43.01934079148844	0.014249883448833616	2.8363077896049745e-09	8.617451439703022e-13
373	1970-01-01 00:00:00.000000373	0.10289591169815387	0.2686745282522807	-43.09436485130378	0.014291098849579771	2.669157307496588e-09	8.59025668583882e-13
374	1970-01-01 00:00:00.000000374	0.1031931401155074	0.26921655094881086	-43.169143270438	0.014332380572873695	3.076117198833806e-09	8.558780114643852e-13
375	1970-01-01 00:00:00.000000375	0.10349062231017192	0.2697609553545845	-43.24351504512894	0.01437369754333811	2.9609742909405447e-09	8.533635620150613e-13
376	1970-01-01 00:00:00.000000376	0.10378894875696527	0.27029499245606514	-43.31718683704815	0.014415131769181312	3.010996544050936e-09	8.49830966773067e-13
377	1970-01-01 00:00:00.000000377	0.10408591099278107	0.2708431053605889	-43.39191109999285	0.01445637652776785	3.194249513926095e-09	8.470674490722081e-13
378	1970-01-01 00:00:00.000000378	0.10438361680453541	0.2713876207837125	-43.46722298473935	0.014497724549311844	2.8680773181369894e-09	8.43528546739101e-13
379	1970-01-01 00:00:00.000000379	0.10468216371996862	0.27192025436657874	-43.54115203037	0.014539189411848577	2.92870838115349e-09	8.413530910768841e-13
380	1970-01-01 00:00:00.000000380	0.10497965842936406	0.272465618729549	-43.61615159908949	0.01458050810463793	3.0569727188223787e-09	8.392030520514699e-13
381	1970-01-01 00:00:00.000000381	0.10527769887804013	0.27300529472394813	-43.6915354940529	0.014621902651872892	2.9890769294798514e-09	8.359651178256928e-13
382	1970-01-01 00:00:00.000000382	0.10557640404029656	0.27354003498634316	-43.766105786598565	0.014663389481040049	2.5398604916661343e-09	8.330513118648094e-13
383	1970-01-01 00:00:00.000000383	0.1058742407408719	0.27408174988844425	-43.84175723129228	0.014704755669511634	2.8232474619074264e-09	8.311781999918153e-13
384	1970-01-01 00:00:00.000000384	0.10617292720299741	0.27461077100137854	-43.91683859708034	0.01474623989325227	2.9994477797348978e-09	8.276329666870601e-13
385	1970-01-01 00:00:00.000000385	0.106471781901396	0.27514609859692524	-43.99141112422689	0.014787747485774872	2.898542520883902e-09	8.256222900425127e-13
386	1970-01-01 00:00:00.000000386	0.10677051478582761	0.2756792612057113	-44.06648270615195	0.014829238176626123	2.6560739453699983e-09	8.225741594759062e-13
387	1970-01-01 00:00:00.000000387	0.10706926887393893	0.2762157730477968	-44.141891347610155	0.014870731772392658	2.7214348791240182e-09	8.199116276564299e-13
388	1970-01-01 00:00:00.000000388	0.10736823570599205	0.27674376316456145	-44.21726860033074	0.014912254944935083	2.748221186946272e-09	8.167046389742785e-13
389	1970-01-01 00:00:00.000000389	0.10766793584389148	0.2772701645491875	-44.29168389850138	0.014953879981749903	2.5300599679535323e-09	8.142732886742692e-13
390	1970-01-01 00:00:00.000000390	0.1079670090682576	0.277799985323741	-44.36680587717144	0.01499541791542376	2.852550481516757e-09	8.126612271077919e-13
391	1970-01-01 00:00:00.000000391	0.1082671149821391	0.27831700992155217	-44.44101499019402	0.015037099295370174	3.2415559261595576e-09	8.098506835025167e-13
392	1970-01-01 00:00:00.000000392	0.10856607317013463	0.27885279607274	-44.516615752054555	0.01507862126700472	2.6944781580103863e-09	8.074600560486825e-13
393	1970-01-01 00:00:00.000000393	0.10886625972964477	0.27937099624855916	-44.59125386146914	0.015120313846798702	2.9992986207282827e-09	8.046367050130633e-13
394	1970-01-01 00:00:00.000000394	0.10916547618399944	0.2799087423170817	-44.667000872218736	0.015161871697705238	2.7450767211369185e-09	8.020566190571218e-13
395	1970-01-01 00:00:00.000000395	0.10946541794389265	0.28042831411744207	-44.7428834263809	0.015203530305628158	2.625882506229308e-09	7.99478415581738e-13
396	1970-01-01 00:00:00.000000396	0.10976530786047484	0.2809526569101163	-44.81869242985449	0.015245181634059737	2.6105227104682443e-09	7.97281706218593e-13
397	1970-01-01 00:00:00.000000397	0.11006574355326772	0.28146850859100553	-44.893652298702655	0.015286908866126396	3.0072075739609057e-09	7.950299197735832e-13
398	1970-01-01 00:00:00.000000398	0.1103658023365458	0.2819945396380781	-44.969435521042776	0.01532858366671289	2.4254364559366984e-09	7.922732200079017e-13
399	1970-01-01 00:00:00.000000399	0.11066640072468795	0.28251095137309296	-45.044363095006936	0.015370333428571428	2.769651307358183e-09	7.908381132142454e-13
400	1970-01-01 00:00:00.000000400	0.11096703050929611	0.283028164757816	-45.119994429595266	0.015412087592355366	2.577030844033861e-09	7.878282026038252e-13
401	1970-01-01 00:00:00.000000401	0.11126755093133359	0.283549962197187	-45.195165486747065	0.015453826532467083	2.525696815742717e-09	7.8571641253771e-13
402	1970-01-01 00:00:00.000000402	0.11156829332205963	0.28406533982951404	-45.27088520258145	0.015495596290378244	2.5281398313217835e-09	7.842737027731328e-13
403	1970-01-01 00:00:00.000000403	0.11186919840673173	0.28457932964099736	-45.346624818084635	0.015537388668138084	2.65608152603959e-09	7.813078174839387e-13
404	1970-01-01 00:00:00.000000404	0.11217046784313725	0.28509472192982455	-45.42183835947712	0.015579231642930857	2.3764102768300653e-09	7.783566909091626e-13
405	1970-01-01 00:00:00.000000405	0.11247133205353149	0.28561124137337873	-45.49758890804004	0.015621018368596692	2.3686430045656585e-09	7.771899238320361e-13
406	1970-01-01 00:00:00.000000406	0.11277246131647657	0.2861233720351793	-45.573494126013465	0.01566284182801979	2.487076694857359e-09	7.745814251827444e-13
407	1970-01-01 00:00:00.000000407	0.11307362755865003	0.2866371872170394	-45.64955133248731	0.015704670468857183	2.4730570237844697e-09	7.725091602423946e-13
408	1970-01-01 00:00:00.000000408	0.11337517428952955	0.28714531007327265	-45.72563094124495	0.015746551936930767	2.422748379763131e-09	7.703735436208535e-13
409	1970-01-01 00:00:00.000000409	0.1136768173313251	0.2876550955191182	-45.800998812514976	0.015788446800739396	2.455466962012529e-09	7.680928214004678e-13
410	1970-01-01 00:00:00.000000410	0.1139783471418321	0.28817274768168927	-45.876996142754635	0.01583032593877063	2.1373579449157756e-09	7.661092142919781e-13
411	1970-01-01 00:00:00.000000411	0.11427979693672181	0.2886763160600375	-45.95369099027801	0.015872193961794304	2.4615341166092788e-09	7.637168176236027e-13
412	1970-01-01 00:00:00.000000412	0.11458220311252175	0.2891795852974301	-46.029104431930655	0.015914194841472988	2.378223984324426e-09	7.620096111959021e-13
413	1970-01-01 00:00:00.000000413	0.11488479572163368	0.28967965852777877	-46.103863999046226	0.015956221606431176	2.696280253393058e-09	7.597592488618776e-13
