	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
597	1970-01-01 00:00:00.597	0.125082551949058	0.7592614092618989	52.09887505515617	0.01737257669093951	1.4969808201096927e-05	2.1729658708326408e-07
598	1970-01-01 00:00:00.598	0.12545489098607276	0.7591840188219238	52.27824707714259	0.017424290449145445	1.499854821733897e-05	2.1699332326160014e-07
599	1970-01-01 00:00:00.599	0.1258273374526368	0.7591084609478849	52.457201029256474	0.017476019080067087	1.5052984664509286e-05	2.1666779855967064e-07
600	1970-01-01 00:00:00.600	0.12619997607047417	0.7590234804766639	52.6357990538189	0.017527774449070912	1.5002541302703995e-05	2.1643438084402412e-07
601	1970-01-01 00:00:00.601	0.12657290791740522	0.7589458125540318	52.81379468638244	0.01757957059769257	1.4902887160033679e-05	2.1618598659893726e-07
602	1970-01-01 00:00:00.602	0.12694563800130676	0.7588680227995396	52.99140802744159	0.017631338601474752	1.488880572370757e-05	2.1607853215803015e-07
603	1970-01-01 00:00:00.603	0.1273187919264912	0.7587845689581062	53.16875243482324	0.017683165560816075	1.4948673284249464e-05	2.1581552344426785e-07
604	1970-01-01 00:00:00.604	0.1276919827592656	0.7586961163367726	53.34563696206477	0.017734997617281256	1.4916767860194102e-05	2.1560449712335447e-07
605	1970-01-01 00:00:00.605	0.1280651814135554	0.7586081168272979	53.52232328374037	0.017786830723308694	1.5041987472934875e-05	2.1522074505035613e-07
606	1970-01-01 00:00:00.606	0.12843880346873146	0.7585263498704299	53.698457452308844	0.01783872273065035	1.5057225197446033e-05	2.151710230845414e-07
607	1970-01-01 00:00:00.607	0.12881238051083252	0.7584318857442086	53.87444171507175	0.01789060841466846	1.5167593120912247e-05	2.1470564169799018e-07
608	1970-01-01 00:00:00.608	0.1291860474357771	0.7583234592884633	54.04965365593417	0.017942506606902595	1.5154492874513845e-05	2.1434805456064673e-07
609	1970-01-01 00:00:00.609	0.12955960609947315	0.7582119735229553	54.22493221525339	0.01799438974755394	1.53942788972445e-05	2.1366330010172302e-07
610	1970-01-01 00:00:00.610	0.123061565	0.9166384854977375	56.99562881674208	0.01709188400490196	4.421654125029751e-05	1.4140815697714948e-05
611	1970-01-01 00:00:00.611	0.07936048518423308	1.2034037630676948	66.0281473207655	0.011022289647957727	2.068407996545987e-05	5.631997664994755e-06
612	1970-01-01 00:00:00.612	0.07337132725728311	1.2436512613526256	60.368942579290746	0.010190462135004198	1.1164695224661005e-05	2.5737382273044396e-06
613	1970-01-01 00:00:00.613	0.07035024701590271	1.265940580417836	57.34501617212348	0.009770867635048332	8.026079300927969e-06	6.533302564582447e-07
614	1970-01-01 00:00:00.614	0.06878741434574501	1.278884352147697	55.69598868340896	0.009553807555417418	1.0787866099948344e-05	1.2265764903822284e-06
615	1970-01-01 00:00:00.615	0.0681000650373912	1.2856128711536103	54.91690728392791	0.00945834235975236	8.145783026593393e-06	5.211598479484801e-07
616	1970-01-01 00:00:00.616	0.06792345954500799	1.2890973260469114	54.65337500061403	0.009433813826722337	9.7456993773818e-06	1.1156989525798808e-06
617	1970-01-01 00:00:00.617	0.06805895908479462	1.290194287953399	54.711932360076865	0.009452633203459045	9.098244390576508e-06	6.043125510588542e-07
618	1970-01-01 00:00:00.618	0.06839304641723218	1.2900469703102277	54.971900618031995	0.009499034231095492	9.114828107037083e-06	7.271107905688668e-07
619	1970-01-01 00:00:00.619	0.06884957040672687	1.2890644049205855	55.354439451261285	0.009562440326066646	9.74477920148365e-06	1.4385755227399074e-06
620	1970-01-01 00:00:00.620	0.06938174592357081	1.2874682578096062	55.813026874922826	0.00963635360075318	9.85674304372404e-06	1.2797264670671792e-06
621	1970-01-01 00:00:00.621	0.06996931874051687	1.2855480020970824	56.32197798495035	0.009717960942391907	1.0413028012357369e-05	1.2794312887851021e-06
622	1970-01-01 00:00:00.622	0.07058876395379916	1.2833696036018838	56.857821447753594	0.009803994992490772	1.0507591863246531e-05	2.2493520440986773e-06
623	1970-01-01 00:00:00.623	0.07122963135660376	1.2810715166037736	57.411776496226416	0.009893004349748427	1.0328408567242704e-05	1.8851863333711053e-06
624	1970-01-01 00:00:00.624	0.07187685896774193	1.2785801561290322	57.96824990193548	0.009982897051419354	1.096175726731742e-05	2.3889859979803613e-06
625	1970-01-01 00:00:00.625	0.07253910086336707	1.2761113894717353	58.53556333991607	0.010074875117872131	1.0249805650761232e-05	1.553193372829442e-06
626	1970-01-01 00:00:00.626	0.07320978844602383	1.273486492508644	59.10789567422206	0.01016802613778973	7.868931029918684e-06	5.384680564361045e-07
627	1970-01-01 00:00:00.627	0.0738849352823483	1.2710522706989602	59.672694959194416	0.010261796572989338	1.4261825418290114e-05	3.673539668839101e-06
628	1970-01-01 00:00:00.628	0.07454621630688973	1.2683460988187325	60.2299535959705	0.010353641164478023	6.061712792701325e-06	4.5862310785691905e-07
629	1970-01-01 00:00:00.629	0.07522490064885495	1.2657790074458766	60.796243995745215	0.01044790288011513	7.0963506125438e-06	3.881205621135623e-07
630	1970-01-01 00:00:00.630	0.07590189017527148	1.26323783190449	61.356595906521875	0.010541929194132216	7.1988928402590965e-06	5.003479787316011e-07
631	1970-01-01 00:00:00.631	0.07657466079141384	1.260718131597834	61.908065110589156	0.010635369570692244	9.648875107484832e-06	1.6168936760079431e-06
632	1970-01-01 00:00:00.632	0.07724938360391133	1.2582209690576651	62.45456920567946	0.010729081078963231	1.3110770111093966e-05	3.316487572489207e-06
633	1970-01-01 00:00:00.633	0.07791606661719111	1.2557006036018208	62.99737896826967	0.010821675909360775	9.61164658961673e-06	1.9731205291872934e-06
634	1970-01-01 00:00:00.634	0.07858549008237893	1.2531732912062152	63.53603362534325	0.010914651401781527	1.0717876930805036e-05	2.288907231597629e-06
635	1970-01-01 00:00:00.635	0.07925186363931323	1.2506658376368798	64.06763477964039	0.011007203296606732	1.1790926300957144e-05	3.044689541782236e-06
636	1970-01-01 00:00:00.636	0.07991402561218315	1.2482321515497883	64.59555260539233	0.011099170206414308	1.1609216816798897e-05	2.4182154354735513e-06
637	1970-01-01 00:00:00.637	0.08057584835167822	1.245741615708656	65.12022328169589	0.011191090056393531	1.194983379822452e-05	2.237314134060542e-06
638	1970-01-01 00:00:00.638	0.08123433949740509	1.2433191878585086	65.63778637667303	0.011282547153783119	1.0872852273408221e-05	2.3047193325453075e-06
639	1970-01-01 00:00:00.639	0.08188973269181107	1.2409146621134897	66.15075288481141	0.011373573967380224	1.0862167335600407e-05	2.192185030972445e-06
640	1970-01-01 00:00:00.640	0.08254131234966366	1.2385150680165795	66.65876418223823	0.011464071212883061	9.308043924933187e-06	1.7244173792714402e-06
641	1970-01-01 00:00:00.641	0.08319140002724981	1.2361719636896247	67.16285986034471	0.011554361156073301	1.0048987488869813e-05	1.6286898269179363e-06
642	1970-01-01 00:00:00.642	0.08383718655973903	1.2338412618594536	67.66080138031806	0.011644053702596167	9.711465347078973e-06	1.4183541315871844e-06
643	1970-01-01 00:00:00.643	0.08447978136042882	1.2315448794273307	68.15374256886959	0.011733303012620436	9.05678244508278e-06	1.2886204058700755e-06
644	1970-01-01 00:00:00.644	0.08511842603965085	1.2292792621963597	68.64136349888355	0.011822003635563976	8.852996414089587e-06	1.1321270350904975e-06
645	1970-01-01 00:00:00.645	0.08575331850770479	1.2270171643011623	69.12401182211408	0.011910183103541498	8.545025833598744e-06	1.0144176339844872e-06
646	1970-01-01 00:00:00.646	0.08638380819461361	1.224821960820138	69.60074104411964	0.011997751190282853	7.997426703412506e-06	1.0094268205454247e-06
647	1970-01-01 00:00:00.647	0.08701133304430167	1.222637286303686	70.07347600202908	0.01208490739668583	8.286704731834968e-06	9.149611600431069e-07
648	1970-01-01 00:00:00.648	0.08763574515768058	1.2205113205832485	70.54184305256018	0.012171631292641573	8.235689092676839e-06	8.842060121552846e-07
649	1970-01-01 00:00:00.649	0.0882555943305595	1.2183768158446655	71.00494638522427	0.012257721443068805	8.022497874368784e-06	8.008209487291775e-07
650	1970-01-01 00:00:00.650	0.08887169251669928	1.216295329667364	71.4635475197355	0.012343290607246475	7.758598588160178e-06	7.456097536952864e-07
