	time	V(na)	V(nt)	V(t)	I(Rgnd)	I(Rrad)	power
313	1970-01-01 00:00:00.000000313	0.07693986550182891	0.30384000803303834	-9.059331994737462	0.010686092514926254	1.7133615793156345e-05	2.2180837345806332e-07
314	1970-01-01 00:00:00.000000314	0.07719402410838666	0.3047445914038968	-8.95227583332549	0.010721392315512049	1.7140583883706702e-05	2.2173739092198973e-07
315	1970-01-01 00:00:00.000000315	0.07744829284822602	0.30564105180917966	-8.845059248967523	0.010756707438990052	1.712307844178243e-05	2.216282604543905e-07
316	1970-01-01 00:00:00.000000316	0.07770267521760493	0.3065462794421826	-8.73761642571014	0.010792038311806822	1.7150378741892463e-05	2.2152812556185855e-07
317	1970-01-01 00:00:00.000000317	0.07795684173459849	0.3074532822193138	-8.629885616247545	0.01082733920748808	1.7404925813397914e-05	2.2159180346779736e-07
318	1970-01-01 00:00:00.000000318	0.07820692026454404	0.3084107869350515	-8.51709365719795	0.010862072284484787	1.8717997298956167e-05	2.2214799219578807e-07
319	1970-01-01 00:00:00.000000319	0.07846112315519181	0.3093136387182253	-8.406408669613546	0.010897378226948692	1.8699620234607446e-05	2.219285269143938e-07
320	1970-01-01 00:00:00.000000320	0.07871715566009105	0.3101869497233571	-8.298366720322166	0.010932938294385432	1.827394265507879e-05	2.2196369600527127e-07
321	1970-01-01 00:00:00.000000321	0.07897316262378432	0.31098252848380253	-8.191410732653871	0.010968494752198148	1.8044096488903143e-05	2.2193183672299632e-07
322	1970-01-01 00:00:00.000000322	0.07922813630485848	0.3119135710072796	-8.082803835732724	0.011003907770774705	1.8176567570295602e-05	2.2185371656934807e-07
323	1970-01-01 00:00:00.000000323	0.07948231577697375	0.3128562371161518	-7.972219305431858	0.011039210459458207	1.838506762482605e-05	2.215072814659733e-07
324	1970-01-01 00:00:00.000000324	0.07973730278131143	0.3137705132739679	-7.861719772406614	0.011074625341043138	1.8424711417555222e-05	2.2118631962154526e-07
325	1970-01-01 00:00:00.000000325	0.07999309844503404	0.3146607283008421	-7.751952353189526	0.01111015253777829	1.8253937013473295e-05	2.209308502121062e-07
326	1970-01-01 00:00:00.000000326	0.08024900783134746	0.3155560137668491	-7.642297579633804	0.011145695543083221	1.827422117540224e-05	2.2093292877786626e-07
327	1970-01-01 00:00:00.000000327	0.08050548157046794	0.3164751865398297	-7.532544673215065	0.01118131691276708	1.810593293302318e-05	2.2016004426468047e-07
328	1970-01-01 00:00:00.000000328	0.08076051752190781	0.31743535926973987	-7.421449951757188	0.011216738546097673	1.838211801859653e-05	2.2018726840501153e-07
329	1970-01-01 00:00:00.000000329	0.08101631522469732	0.31836017573132086	-7.310352908958253	0.011252266007888917	1.828284015657751e-05	2.182670351354516e-07
330	1970-01-01 00:00:00.000000330	0.08127034085072486	0.31931580196863835	-7.196119274744532	0.011287547345183096	1.8491381702633195e-05	2.1649651842681837e-07
331	1970-01-01 00:00:00.000000331	0.0815269481164881	0.32018728068140545	-7.084193597307972	0.011323187240330488	1.8422941763914107e-05	2.1647854387472833e-07
332	1970-01-01 00:00:00.000000332	0.08178370801267829	0.32104806790808244	-6.972865039506452	0.01135884834435137	1.8348929683042787e-05	2.1649496092898926e-07
333	1970-01-01 00:00:00.000000333	0.0820405271431152	0.3218905934268166	-6.861470968387301	0.01139451764372488	1.839303347236147e-05	2.1686452530969894e-07
334	1970-01-01 00:00:00.000000334	0.0822969287218079	0.32275914530338196	-6.749303562039519	0.011430128982042674	1.8613152635141833e-05	2.173659494997974e-07
335	1970-01-01 00:00:00.000000335	0.08255343002901941	0.3236253091039975	-6.6363958753739904	0.011465754155849998	1.8691828308084944e-05	2.17897663943676e-07
336	1970-01-01 00:00:00.000000336	0.08280975969549192	0.32442438159243114	-6.522992921861657	0.011501355505640702	1.9023647129331655e-05	2.185446320086004e-07
337	1970-01-01 00:00:00.000000337	0.0830666950363131	0.32530139616022596	-6.409606069017305	0.01153704096184883	1.9077222669707702e-05	2.1846453666004426e-07
338	1970-01-01 00:00:00.000000338	0.08332461457037003	0.3261672285519796	-6.297124856425478	0.011572863159844663	1.8921343546156767e-05	2.19025735727215e-07
339	1970-01-01 00:00:00.000000339	0.08358176442927155	0.3270142229182446	-6.183749517442638	0.011608578401425707	1.9083912428531967e-05	2.190853294556332e-07
340	1970-01-01 00:00:00.000000340	0.083839413066637	0.32786525140727557	-6.070313665969519	0.011644362937812883	1.902816443562599e-05	2.1901073682434038e-07
341	1970-01-01 00:00:00.000000341	0.08409783451584371	0.32875658460075624	-5.956606171218185	0.011680254819671406	1.879174580389492e-05	2.194805868866685e-07
342	1970-01-01 00:00:00.000000342	0.08435720010063198	0.32962671522251336	-5.845532563957458	0.011716277816264066	1.848665036558298e-05	2.1886618651372337e-07
343	1970-01-01 00:00:00.000000343	0.08461524369777602	0.3305087041274232	-5.731839189093065	0.011752117179301412	1.841878682400215e-05	2.1881484621070568e-07
344	1970-01-01 00:00:00.000000344	0.08487298864834561	0.3313654164691657	-5.6173533956029456	0.011787915103880402	1.8392554674383643e-05	2.1811852891302232e-07
345	1970-01-01 00:00:00.000000345	0.08513076318446175	0.3322440232151871	-5.500688985076264	0.011823717116207614	1.8517016539310875e-05	2.1802485974436087e-07
346	1970-01-01 00:00:00.000000346	0.08539104294376709	0.33316573670325855	-5.388389408426259	0.011859867097019135	1.84190390644342e-05	2.1937722958189557e-07
347	1970-01-01 00:00:00.000000347	0.08564961214684136	0.33404340217494705	-5.274277544147533	0.011895779527608423	1.8457500619148335e-05	2.1921339512806635e-07
348	1970-01-01 00:00:00.000000348	0.08590822245058095	0.33491266746642523	-5.158986977537778	0.011931697579383043	1.8483657616561685e-05	2.1894204825322777e-07
349	1970-01-01 00:00:00.000000349	0.08616701218209956	0.33578764473819966	-5.043214769344854	0.011967640600765196	1.8477114601885456e-05	2.186993738859595e-07
350	1970-01-01 00:00:00.000000350	0.08642606110091546	0.33665241466243595	-4.927335041892674	0.012003619623737754	1.8484624541182172e-05	2.1855536026536954e-07
351	1970-01-01 00:00:00.000000351	0.08668527912089323	0.3375132092594969	-4.8112064899683435	0.01203962211349247	1.8479786869750683e-05	2.1841248444598124e-07
352	1970-01-01 00:00:00.000000352	0.08694465327094626	0.33836587758973924	-4.69484935940501	0.012075646290494686	1.8467276287837296e-05	2.1833242199072125e-07
353	1970-01-01 00:00:00.000000353	0.08720432172192764	0.33920956706701594	-4.578404690346899	0.012111711374177474	1.843596941247041e-05	2.182709371975374e-07
